"Date","Record Number","Record Type","Address","Status","Description","Project Name","Short Notes",
"01/21/2025","BLDNCC-2025-00963","New Commercial Construction Permit","3522 Cross Hill DR, Madison WI 53718 United States","Closed","T-Mobile - install three new radios, move three radios",,"T-Mobile - install three new radios, move three radios",
"01/21/2025","BLDNCC-2025-00928","New Commercial Construction Permit","7611 Widgeon WAY, Madison WI 53717 United States","Closed","Bathroom and laundry upgrade - drywall repair, add soffit in bathroom",,"Bathroom and laundry upgrade - drywall repair, add soffit in bathroom",
"01/16/2025","BLDNCC-2025-00747","New Commercial Construction Permit","231 Junction RD, Madison WI 53717 United States","Closed","Mounds Pet Food Warehouse - new tenant alteration",,"Mounds Pet Food Warehouse - new tenant alteration",
"01/16/2025","BLDNCC-2025-00742","New Commercial Construction Permit","1348 S Midvale BLVD, ANT, Madison WI 53711 United States","Issued","Verizon - replace 3 antennas",,"Verizon - replace 3 antennas",
"01/16/2025","BLDNCC-2025-00717","New Commercial Construction Permit","957 Rise LN, Madison WI 53704 United States","Closed","62.73 kW DC rooftop PV solar installation, 153 panels",,"62.73 kW DC rooftop PV solar installation, 153 panels",
"01/13/2025","BLDNCC-2025-00552","New Commercial Construction Permit","711 State ST, 200, Madison WI 53703 United States","Inspections Complete","UW Madison Communications - existing tenant alterations",,"UW Madison Communications - existing tenant alterations",
"01/13/2025","BLDNCC-2025-00550","New Commercial Construction Permit","2 E Mifflin ST, 804, Madison WI 53703 United States","Inspections Complete","Welch Group - divide existing space for new tenant and future tenant",,"Welch Group - divide existing space for new tenant and future tenant",
"01/13/2025","BLDNCC-2025-00528","New Commercial Construction Permit","350 S Hamilton ST, 905, Madison WI 53703 United States","Issued","renovate unit, drywall and wall covering work. All framing to be non-combustible. framing for fireplace façade",,"renovate unit, drywall and wall covering work. All framing to be non-combustible",
"01/13/2025","BLDNCC-2025-00526","New Commercial Construction Permit","4427 Milwaukee ST, 110, Madison WI 53714 United States","Closed","Scotteez Urban Clothing - new tenant alteration",,"Scotteez Urban Clothing - new tenant alteration",
"01/13/2025","BLDNCC-2025-00512","New Commercial Construction Permit","128 Langdon ST, Madison WI 53703 United States","Issued","new 79 unit apartment over 1 level of at grade parking",,"new 79 unit apartment over 1 level of at grade parking",
"01/10/2025","BLDNCC-2025-00465","New Commercial Construction Permit","6138 Mineral Point RD, Madison WI 53705 United States","Closed","Day Spa - Certificate of Occupancy for Service Business",,"Day Spa - Certificate of Occupancy for Service Business",
"01/09/2025","BLDNCC-2025-00385","New Commercial Construction Permit","3216 Ohmeda DR, Madison WI 53718 United States","Closed","Keefe Group - shell build out",,"Keefe Group - shell build out",
"01/09/2025","BLDNCC-2025-00377","New Commercial Construction Permit","1240 Deming WAY, Madison WI 53717 United States","Closed","Accuray test bunker T7 alteration - move maze wall",,"Accuray test bunker T7 alteration - move maze wall",
"01/08/2025","BLDNCC-2025-00304","New Commercial Construction Permit","725 S Gammon RD, Madison WI 53719 United States","Issued","Add exterior doors for new trash compactors",,"Add exterior doors for new trash compactors",
"01/08/2025","BLDNCC-2025-00301","New Commercial Construction Permit","4001 Felland RD, 106, Madison WI 53718 United States","Issued","Divide space to create white box suite",,"Divide space to create white box suite",
"01/08/2025","BLDNCC-2025-00298","New Commercial Construction Permit","4001 Felland RD, 104, Madison WI 53718 United States","Inspections Complete","Vantablack - new tenant alteration",,"Vantablack - new tenant alteration",
"01/07/2025","BLDNCC-2025-00261","New Commercial Construction Permit","908 E Main ST, 101, Madison WI 53703 United States","In Process","Institute of Beauty and Wellness, new tenant alteration",,"Institute of Beauty and Wellness, new tenant alteration",
"01/06/2025","BLDNCC-2025-00136","New Commercial Construction Permit","773 University AVE, 205, Madison WI 53715 United States","Issued","Mortenson Construction field office- new tenant alterations",,"Mortenson Construction field office- new tenant alterations",
"01/02/2025","BLDNCC-2025-00031","New Commercial Construction Permit","2614 Hermsdorf RD, Madison WI 53718 United States","Issued","AT&T - relocate and add antennas on new mount on 5 foot tower extension",,"AT&T - relocate and add antennas on new mount on 5 foot tower extension",
