"Date","Record Number","Record Type","Address","Status","Description","Project Name","Short Notes",
"03/04/2025","BLDNCC-2025-03330","New Commercial Construction Permit","305 S Livingston ST, Madison WI 53703 United States","Closed","Ami Hair Salon - new tenant alteration",,"Ami Hair Salon - new tenant alteration",
"03/03/2025","BLDNCC-2025-03244","New Commercial Construction Permit","1232 Fourier DR, 101, Madison WI 53717 United States","Closed","Health Office - new tenant alteration",,"Health Office - new tenant alteration",
"03/03/2025","BLDNCC-2025-03240","New Commercial Construction Permit","2810 Walton Commons LN, Madison WI 53718 United States","Closed","Horizon Construction Group - new tenant alteration, divide from future tenant space",,"Horizon Construction Group - new tenant alteration, divide from future tenant space",
"03/03/2025","BLDNCC-2025-03239","New Commercial Construction Permit","816 Schewe RD, Middleton WI 53562 United States","Issued","Pope Farm Elementary - rooftop solar PV array 167 kW DC with 289 panels",,"Pope Farm Elementary - rooftop solar PV array 167 kW DC with 289 panels",
"02/28/2025","BLDNCC-2025-03128","New Commercial Construction Permit","650 Forward DR, Madison WI 53711 United States","Closed","Exact Sciences - MRD 2.0 Testing utility/ante rooms",,"Exact Sciences - MRD 2.0 Testing utility/ante rooms",
"02/28/2025","BLDNCC-2025-03085","New Commercial Construction Permit","128 State ST, Madison WI 53703 United States","Closed","Ashiwad Indian Cuisine - new tenant alteration, combine space with 130 State St",,"Ashiwad Indian Cuisine - new tenant alteration, combine space with 130 State St",
"02/27/2025","BLDNCC-2025-03024","New Commercial Construction Permit","4222 Milwaukee ST, Madison WI 53714 United States","Closed","Royalty Keng Finance Auto Sales - Certificate of Occupancy for Auto Sales--  without vehicle display lot",,"Royalty Keng Finance Auto Sales - Certificate of Occupancy for Auto Sales--  without vehicle display lot",
"02/27/2025","BLDNCC-2025-03018","New Commercial Construction Permit","1 E Main ST, 500, Madison WI 53703 United States","Issued","Godfrey & Kahn - existing 5th floor tenant alteration including 4th floor toilet rooms",,"Godfrey & Kahn - existing 5th floor tenant alteration including 4th floor toilet rooms",
"02/26/2025","BLDNCC-2025-02945","New Commercial Construction Permit","2510 W Beltline HWY, Madison WI 53713 United States","Inspections Complete","Rosen Nissan of Madison - service and car wash addition, interior alterations",,"Rosen Nissan of Madison - service and car wash addition, interior alterations",
"02/26/2025","BLDNCC-2025-02941","New Commercial Construction Permit","10 S Paterson ST, 107, Madison WI 53703 United States","In Process","Copa Vida - new tenant shell buildout",,"Copa Vida - new tenant shell buildout",
"02/25/2025","BLDNCC-2025-02905","New Commercial Construction Permit","675 S Whitney WAY, Madison WI 53711 United States","Closed","Hy-Vee - remove grill, millwork, and hood from deli, add new wall at location",,"Hy-Vee - remove grill, millwork, and hood from deli, add new wall at location",
"02/25/2025","BLDNCC-2025-02897","New Commercial Construction Permit","493 S High Point RD, Madison WI 53719 United States","Issued","second story deck addition in existing footprint for units C and D",,"second story deck addition in existing footprint for units C and D",
